,video_name,is_name,is_comic,comic_name,tokens
12,"Julie Fuchs reprend Barbara : ""Une petite cantate"" - La carte blanche","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Julie"", ""Fuchs"", ""reprend"", ""Barbara"", "":"", ""\""Une"", ""petite"", ""cantate\"""", ""-"", ""La"", ""carte"", ""blanche""]"
13,Météo : les mots et les images du beau temps - L'Instant M,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""M\u00e9t\u00e9o"", "":"", ""les"", ""mots"", ""et"", ""les"", ""images"", ""du"", ""beau"", ""temps"", ""-"", ""L'"", ""Instant"", ""M""]"
14,"E Macron en Ukraine : ""Quatre mois pour clarifier les choses c'est long quand on est en guerre""","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""E"", ""Macron"", ""en"", ""Ukraine"", "":"", ""\""Quatre"", ""mois"", ""pour"", ""clarifier"", ""les"", ""choses"", ""c'"", ""est"", ""long"", ""quand"", ""on"", ""est"", ""en"", ""guerre\""""]"
15,"Marine Le Pen : ""on peut obtenir qu'Emmanuel Macron n'ait pas la majorité absolue"" à l'Assemblée","[1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Marine"", ""Le"", ""Pen"", "":"", ""\""on"", ""peut"", ""obtenir"", ""qu'"", ""Emmanuel"", ""Macron"", ""n'"", ""ait"", ""pas"", ""la"", ""majorit\u00e9"", ""absolue\"""", ""\u00e0"", ""l'"", ""Assembl\u00e9e""]"
16,Séries - Le Billet de François Morel,"[0, 0, 0, 0, 0, 1, 1]",1,"[""François Morel""]","[""S\u00e9ries"", ""-"", ""Le"", ""Billet"", ""de"", ""Fran\u00e7ois"", ""Morel""]"
17,Plan de la ville de Saint-Gratien - Le Billet de François Morel,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",1,"[""François Morel""]","[""Plan"", ""de"", ""la"", ""ville"", ""de"", ""Saint-Gratien"", ""-"", ""Le"", ""Billet"", ""de"", ""Fran\u00e7ois"", ""Morel""]"
18,Lettre à un adjudant - En toute subjectivité,"[0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Lettre"", ""\u00e0"", ""un"", ""adjudant"", ""-"", ""En"", ""toute"", ""subjectivit\u00e9""]"
19,Imprimantes à biscuits et capsules spatiales : les trouvailles les plus étonnantes du salon Vivatech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Imprimantes"", ""\u00e0"", ""biscuits"", ""et"", ""capsules"", ""spatiales"", "":"", ""les"", ""trouvailles"", ""les"", ""plus"", ""\u00e9tonnantes"", ""du"", ""salon"", ""Vivatech""]"
20,La voix du sexe des Belges : le retour - La chronique de Laurence Bibot,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Laurence Bibot""]","[""La"", ""voix"", ""du"", ""sexe"", ""des"", ""Belges"", "":"", ""le"", ""retour"", ""-"", ""La"", ""chronique"", ""de"", ""Laurence"", ""Bibot""]"
21,La voix de la polémique la plus rentable - La chronique de Laurence Bibot,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Laurence Bibot""]","[""La"", ""voix"", ""de"", ""la"", ""pol\u00e9mique"", ""la"", ""plus"", ""rentable"", ""-"", ""La"", ""chronique"", ""de"", ""Laurence"", ""Bibot""]"
22,Le questionnaire Jupiproust de Camille Froidevaux-Metterie - Le questionnaire Jupiproust,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1,[],"[""Le"", ""questionnaire"", ""Jupiproust"", ""de"", ""Camille"", ""Froidevaux-Metterie"", ""-"", ""Le"", ""questionnaire"", ""Jupiproust""]"
23,Bien vivre sa canicule - Le Moment Meurice,"[0, 0, 0, 0, 0, 0, 0, 1]",1,"[""Meurice""]","[""Bien"", ""vivre"", ""sa"", ""canicule"", ""-"", ""Le"", ""Moment"", ""Meurice""]"
24,Faisons des économies - Le Moment Meurice,"[0, 0, 0, 0, 0, 0, 1]",1,"[""Meurice""]","[""Faisons"", ""des"", ""\u00e9conomies"", ""-"", ""Le"", ""Moment"", ""Meurice""]"
25,La ferme digitale - Le Moment Meurice,"[0, 0, 0, 0, 0, 0, 1]",1,"[""Meurice""]","[""La"", ""ferme"", ""digitale"", ""-"", ""Le"", ""Moment"", ""Meurice""]"
26,1er tour des Législatives : le bilan - Le Moment Meurice,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,"[""Meurice""]","[""1er"", ""tour"", ""des"", ""L\u00e9gislatives"", "":"", ""le"", ""bilan"", ""-"", ""Le"", ""Moment"", ""Meurice""]"
27,Air candidature - Le Moment Meurice,"[0, 0, 0, 0, 0, 1]",1,"[""Meurice""]","[""Air"", ""candidature"", ""-"", ""Le"", ""Moment"", ""Meurice""]"
28,Point météo à Kiev Bachelot de retour aux Grosses Têtes et trou noir voyou - Le Journal de 17h17,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,[],"[""Point"", ""m\u00e9t\u00e9o"", ""\u00e0"", ""Kiev"", ""Bachelot"", ""de"", ""retour"", ""aux"", ""Grosses"", ""T\u00eates"", ""et"", ""trou"", ""noir"", ""voyou"", ""-"", ""Le"", ""Journal"", ""de"", ""17h17""]"
29,Législatives 2022 : Danièle Obono députée réélue au premier tour,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",0,[],"[""L\u00e9gislatives"", ""2022"", "":"", ""Dani\u00e8le"", ""Obono"", ""d\u00e9put\u00e9e"", ""r\u00e9\u00e9lue"", ""au"", ""premier"", ""tour""]"
30,"""Autour de ton cou"" - Stephan Eicher (en live) sur Popopop","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0,[],"[""\""Autour"", ""de"", ""ton"", ""cou\"""", ""-"", ""Stephan"", ""Eicher"", ""(en"", ""live)"", ""sur"", ""Popopop""]"
31,Christine Ockrent Thomas Snégaroff : le Watergate a 50 ans - L'Instant M,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Christine"", ""Ockrent"", ""Thomas"", ""Sn\u00e9garoff"", "":"", ""le"", ""Watergate"", ""a"", ""50"", ""ans"", ""-"", ""L'"", ""Instant"", ""M""]"
32,L’Hommage de la semaine - Tom Villa a tout compris,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1,"[""Tom Villa""]","[""L\u2019Hommage"", ""de"", ""la"", ""semaine"", ""-"", ""Tom"", ""Villa"", ""a"", ""tout"", ""compris""]"
33,La polémique de la semaine - Tom Villa a tout compris,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1,"[""Tom Villa""]","[""La"", ""pol\u00e9mique"", ""de"", ""la"", ""semaine"", ""-"", ""Tom"", ""Villa"", ""a"", ""tout"", ""compris""]"
34,La France ce nouveau Punta Cana en plus chaud - Tanguy Pastureau maltraite l'info,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1,"[""Tanguy Pastureau""]","[""La"", ""France"", ""ce"", ""nouveau"", ""Punta"", ""Cana"", ""en"", ""plus"", ""chaud"", ""-"", ""Tanguy"", ""Pastureau"", ""maltraite"", ""l'"", ""info""]"
35,Plus que 3 minutes pour solder mon compte Cpf - Le billet de Tanguy Pastureau,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Tanguy Pastureau""]","[""Plus"", ""que"", ""3"", ""minutes"", ""pour"", ""solder"", ""mon"", ""compte"", ""Cpf"", ""-"", ""Le"", ""billet"", ""de"", ""Tanguy"", ""Pastureau""]"
36,Des fantômes en banlieue parisienne - Tanguy Pastureau maltraite l'info,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1,"[""Tanguy Pastureau""]","[""Des"", ""fant\u00f4mes"", ""en"", ""banlieue"", ""parisienne"", ""-"", ""Tanguy"", ""Pastureau"", ""maltraite"", ""l'"", ""info""]"
37,Retour sur les élections - Tanguy Pastureau maltraite l'info,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1,"[""Tanguy Pastureau""]","[""Retour"", ""sur"", ""les"", ""\u00e9lections"", ""-"", ""Tanguy"", ""Pastureau"", ""maltraite"", ""l'"", ""info""]"
38,La France n'a pas d'idées mais elle a des chenilles - Tanguy Pastureau maltraite l'info,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1,"[""Tanguy Pastureau""]","[""La"", ""France"", ""n'"", ""a"", ""pas"", ""d'"", ""id\u00e9es"", ""mais"", ""elle"", ""a"", ""des"", ""chenilles"", ""-"", ""Tanguy"", ""Pastureau"", ""maltraite"", ""l'"", ""info""]"
39,Kylie Minogue en mini-robe la vie quoi - Tanguy Pastureau maltraite l'info,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1,"[""Tanguy Pastureau""]","[""Kylie"", ""Minogue"", ""en"", ""mini-robe"", ""la"", ""vie"", ""quoi"", ""-"", ""Tanguy"", ""Pastureau"", ""maltraite"", ""l'"", ""info""]"
40,Joann Sfar - Morgane Cadignan n'aime pas,"[1, 1, 0, 1, 1, 0, 0, 0]",1,"[""Morgane Cadignan""]","[""Joann"", ""Sfar"", ""-"", ""Morgane"", ""Cadignan"", ""n'"", ""aime"", ""pas""]"
41,Karole Rocher et Samir Guesmi - Morgane Cadignan n'aime pas,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0]",1,"[""Morgane Cadignan""]","[""Karole"", ""Rocher"", ""et"", ""Samir"", ""Guesmi"", ""-"", ""Morgane"", ""Cadignan"", ""n'"", ""aime"", ""pas""]"
42,Thierry Lhermitte - Morgane Cadignan n'aime pas,"[1, 1, 0, 1, 1, 0, 0, 0]",1,"[""Morgane Cadignan""]","[""Thierry"", ""Lhermitte"", ""-"", ""Morgane"", ""Cadignan"", ""n'"", ""aime"", ""pas""]"
43,Tapis rouge pour Sylvie Testud - Morgane Cadignan n'aime pas,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0]",1,"[""Morgane Cadignan""]","[""Tapis"", ""rouge"", ""pour"", ""Sylvie"", ""Testud"", ""-"", ""Morgane"", ""Cadignan"", ""n'"", ""aime"", ""pas""]"
44,Pierre-François Martin-Laval - Morgane Cadignan n'aime pas,"[1, 1, 0, 1, 1, 0, 0, 0]",1,"[""Morgane Cadignan""]","[""Pierre-Fran\u00e7ois"", ""Martin-Laval"", ""-"", ""Morgane"", ""Cadignan"", ""n'"", ""aime"", ""pas""]"
45,Pma pour toutes - Florence Mendez reste calme,"[0, 0, 0, 0, 1, 1, 0, 0]",1,"[""Florence Mendez""]","[""Pma"", ""pour"", ""toutes"", ""-"", ""Florence"", ""Mendez"", ""reste"", ""calme""]"
46,"Florence Aubenas : ""Cette guerre tombée du ciel les Ukrainiens l'ont prise avec courage""","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Florence"", ""Aubenas"", "":"", ""\""Cette"", ""guerre"", ""tomb\u00e9e"", ""du"", ""ciel"", ""les"", ""Ukrainiens"", ""l'"", ""ont"", ""prise"", ""avec"", ""courage\""""]"
47,Législatives : la guerre des nerfs - Le Billet de Charline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,"[""Florence Mendez""]","[""L\u00e9gislatives"", "":"", ""la"", ""guerre"", ""des"", ""nerfs"", ""-"", ""Le"", ""Billet"", ""de"", ""Charline""]"
48,Canicule : des températures pas très républicaines - Le Billet de Charline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,"[""Charline""]","[""Canicule"", "":"", ""des"", ""temp\u00e9ratures"", ""pas"", ""tr\u00e8s"", ""r\u00e9publicaines"", ""-"", ""Le"", ""Billet"", ""de"", ""Charline""]"
49,Surtout ne votez pas pour lui Le Billet de Charline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,"[""Charline""]","[""Surtout"", ""ne"", ""votez"", ""pas"", ""pour"", ""lui"", ""Le"", ""Billet"", ""de"", ""Charline""]"
50,Les gaufrades aux législatives - Le Billet de Charline,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",1,"[""Charline""]","[""Les"", ""gaufrades"", ""aux"", ""l\u00e9gislatives"", ""-"", ""Le"", ""Billet"", ""de"", ""Charline""]"
51,Quand Mélenchon traite les patrons de parasites - En toute subjectivité,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Quand"", ""M\u00e9lenchon"", ""traite"", ""les"", ""patrons"", ""de"", ""parasites"", ""-"", ""En"", ""toute"", ""subjectivit\u00e9""]"
52,"""Platonique"" sur Ocs : une déclaration d'amour à l'amitié - Capture d'écrans","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""\""Platonique\"""", ""sur"", ""Ocs"", "":"", ""une"", ""d\u00e9claration"", ""d'"", ""amour"", ""\u00e0"", ""l'"", ""amiti\u00e9"", ""-"", ""Capture"", ""d'"", ""\u00e9crans""]"
53,Les disputes c'est bon pour le couple Le billet de Daniel Morin,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Daniel Morin""]","[""Les"", ""disputes"", ""c'"", ""est"", ""bon"", ""pour"", ""le"", ""couple"", ""Le"", ""billet"", ""de"", ""Daniel"", ""Morin""]"
54,Netflix - Le héros du jour de Daniel Morin,"[0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Daniel Morin""]","[""Netflix"", ""-"", ""Le"", ""h\u00e9ros"", ""du"", ""jour"", ""de"", ""Daniel"", ""Morin""]"
55,Saloperie de canicule Le billet de Daniel Morin,"[0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Daniel Morin""]","[""Saloperie"", ""de"", ""canicule"", ""Le"", ""billet"", ""de"", ""Daniel"", ""Morin""]"
56,La Master Classe de Pomme - La Master-Classe de Par Jupiter,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,[],"[""La"", ""Master"", ""Classe"", ""de"", ""Pomme"", ""-"", ""La"", ""Master-Classe"", ""de"", ""Par"", ""Jupiter""]"
57,Canicule bac philo et Abad the musical - Le Journal de 17h17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,[],"[""Canicule"", ""bac"", ""philo"", ""et"", ""Abad"", ""the"", ""musical"", ""-"", ""Le"", ""Journal"", ""de"", ""17h17""]"
58,Législatives 2022 : Bruno Le Maire ministre de l'Économie de des Finances,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""L\u00e9gislatives"", ""2022"", "":"", ""Bruno"", ""Le"", ""Maire"", ""ministre"", ""de"", ""l'"", ""\u00c9conomie"", ""de"", ""des"", ""Finances""]"
59,Sa majesté des moches - La Drôle D'Humeur De Fanny Ruwet,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Fanny Ruwet""]","[""Sa"", ""majest\u00e9"", ""des"", ""moches"", ""-"", ""La"", ""Dr\u00f4le"", ""D'"", ""Humeur"", ""De"", ""Fanny"", ""Ruwet""]"
60,Ks et Nd : drag queens et politique - L'Instant M,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Ks"", ""et"", ""Nd"", "":"", ""drag"", ""queens"", ""et"", ""politique"", ""-"", ""L'"", ""Instant"", ""M""]"
61,Annick donne ses prévisions de l'été - Le billet de Lison Daniel,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Lison Daniel""]","[""Annick"", ""donne"", ""ses"", ""pr\u00e9visions"", ""de"", ""l'"", ""\u00e9t\u00e9"", ""-"", ""Le"", ""billet"", ""de"", ""Lison"", ""Daniel""]"
62,Le front républicain doit s'appliquer à l'extrême droite à l'extrême gauche - En toute subjectivité,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Le"", ""front"", ""r\u00e9publicain"", ""doit"", ""s'"", ""appliquer"", ""\u00e0"", ""l'"", ""extr\u00eame"", ""droite"", ""\u00e0"", ""l'"", ""extr\u00eame"", ""gauche"", ""-"", ""En"", ""toute"", ""subjectivit\u00e9""]"
63,"Rêver de cabanes devant ""Incroyables maisons de vacances"" - Capture d'écrans","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""R\u00eaver"", ""de"", ""cabanes"", ""devant"", ""\""Incroyables"", ""maisons"", ""de"", ""vacances\"""", ""-"", ""Capture"", ""d'"", ""\u00e9crans""]"
64,Le questionnaire Jupiproust de Gary Hunt - Le questionnaire Jupiproust,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1,[],"[""Le"", ""questionnaire"", ""Jupiproust"", ""de"", ""Gary"", ""Hunt"", ""-"", ""Le"", ""questionnaire"", ""Jupiproust""]"
65,Le dernier des écrivains de Gwenaelle Robert - La chronique de Clara Dupont-Monod,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]",0,[],"[""Le"", ""dernier"", ""des"", ""\u00e9crivains"", ""de"", ""Gwenaelle"", ""Robert"", ""-"", ""La"", ""chronique"", ""de"", ""Clara"", ""Dupont-Monod""]"
66,La peste sur vos deux familles de Robert Littell - La chronique de Clara Dupont-Monod,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]",0,[],"[""La"", ""peste"", ""sur"", ""vos"", ""deux"", ""familles"", ""de"", ""Robert"", ""Littell"", ""-"", ""La"", ""chronique"", ""de"", ""Clara"", ""Dupont-Monod""]"
67,Eric le conquérant chute à Saint-Tropez - La chronique de Djamil le Shlag,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1,"[""Djamil le Shlag""]","[""Eric"", ""le"", ""conqu\u00e9rant"", ""chute"", ""\u00e0"", ""Saint-Tropez"", ""-"", ""La"", ""chronique"", ""de"", ""Djamil"", ""le"", ""Shlag""]"
68,J'aime pas lire - La chronique d'Aymeric Lompret,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Aymeric Lompret""]","[""J'"", ""aime"", ""pas"", ""lire"", ""-"", ""La"", ""chronique"", ""d'"", ""Aymeric"", ""Lompret""]"
69,Vague de chaleur cartographie de la voie lactée et Renault Chlamydia - Le Journal de 17h17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,[],"[""Vague"", ""de"", ""chaleur"", ""cartographie"", ""de"", ""la"", ""voie"", ""lact\u00e9e"", ""et"", ""Renault"", ""Chlamydia"", ""-"", ""Le"", ""Journal"", ""de"", ""17h17""]"
70,"Chloé Cruchaudet : ""Comment dessiner ""Céleste"" ""","[1, 1, 0, 0, 0, 0, 0]",0,[],"[""Chlo\u00e9"", ""Cruchaudet"", "":"", ""\""Comment"", ""dessiner"", ""\""C\u00e9leste\"""", ""\""""]"
71,On m’a volé mon rétroviseur gauche - La drôle d'humeur de Paul Mirabel,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Paul Mirabel""]","[""On"", ""m\u2019a"", ""vol\u00e9"", ""mon"", ""r\u00e9troviseur"", ""gauche"", ""-"", ""La"", ""dr\u00f4le"", ""d'"", ""humeur"", ""de"", ""Paul"", ""Mirabel""]"
72,Législatives 2022 avec Béatrice Giblin géographe et Mathieu Gallard directeur d'études Ipsos,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]",0,[],"[""L\u00e9gislatives"", ""2022"", ""avec"", ""B\u00e9atrice"", ""Giblin"", ""g\u00e9ographe"", ""et"", ""Mathieu"", ""Gallard"", ""directeur"", ""d'"", ""\u00e9tudes"", ""Ipsos""]"
73,Prix du papier : vos journaux menacés - L'Instant M,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Prix"", ""du"", ""papier"", "":"", ""vos"", ""journaux"", ""menac\u00e9s"", ""-"", ""L'"", ""Instant"", ""M""]"
74,"Alex Lutz : ""Aujourd'hui même à terre il faut donner l'impression de réussir""","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Alex"", ""Lutz"", "":"", ""\""Aujourd'"", ""hui"", ""m\u00eame"", ""\u00e0"", ""terre"", ""il"", ""faut"", ""donner"", ""l'"", ""impression"", ""de"", ""r\u00e9ussir\""""]"
75,"Laurence de Nervaux : les abstentionnistes ""sont autant sensibilisés que la moyenne des Français à l","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Laurence"", ""de"", ""Nervaux\u00a0:"", ""les"", ""abstentionnistes"", ""\""sont"", ""autant"", ""sensibilis\u00e9s"", ""que"", ""la"", ""moyenne"", ""des"", ""Fran\u00e7ais"", ""\u00e0"", ""l""]"
76,"Clément Beaune : ""Je pense qu'il y a un danger un certain nombre de dérives dans ce qui s'appelle N","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""Cl\u00e9ment"", ""Beaune"", "":"", ""\""Je"", ""pense"", ""qu'"", ""il"", ""y"", ""a"", ""un"", ""danger"", ""un"", ""certain"", ""nombre"", ""de"", ""d\u00e9rives"", ""dans"", ""ce"", ""qui"", ""s'"", ""appelle"", ""N""]"
77,La jeunesse engagée mais qui s’abstient - En toute subjectivité,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[],"[""La"", ""jeunesse"", ""engag\u00e9e"", ""mais"", ""qui"", ""s\u2019abstient"", ""-"", ""En"", ""toute"", ""subjectivit\u00e9""]"
78,Les français ne croient plus en la politique - Le billet d'Alex Vizorek,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Alex Vizorek""]","[""Les"", ""fran\u00e7ais"", ""ne"", ""croient"", ""plus"", ""en"", ""la"", ""politique"", ""-"", ""Le"", ""billet"", ""d'"", ""Alex"", ""Vizorek""]"
79,Des enchantés - La chronique de Thomas Croisière,"[0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Thomas Croisière""]","[""Des"", ""enchant\u00e9s"", ""-"", ""La"", ""chronique"", ""de"", ""Thomas"", ""Croisi\u00e8re""]"
80,À la recherche de la nouvelle star - La chronique de Thomas Croisière,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"[""Thomas Croisière""]","[""\u00c0"", ""la"", ""recherche"", ""de"", ""la"", ""nouvelle"", ""star"", ""-"", ""La"", ""chronique"", ""de"", ""Thomas"", ""Croisi\u00e8re""]"
